2021-12-29 13:47:21.354 [main] INFO  c.m.s.EduStudentApplication [StartupInfoLogger.java:55] - Starting EduStudentApplication using Java 1.8.0_312 on yangchengjudeMacBook-Pro.local with PID 5396 (/Users/yangchengju/Desktop/swu-edu-project/edu-student-RD/target/classes started by yangchengju in /Users/yangchengju/Desktop/swu-edu-project/edu-student-RD)
2021-12-29 13:47:21.355 [main] INFO  c.m.s.EduStudentApplication [SpringApplication.java:659] - No active profile set, falling back to default profiles: default
2021-12-29 13:47:21.676 [main] WARN  o.m.s.m.ClassPathMapperScanner [Logger.java:44] - No MyBatis mapper was found in '[com.ycj.student]' package. Please check your configuration.
2021-12-29 13:47:21.702 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:262] - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-29 13:47:21.703 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:132] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-29 13:47:21.717 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:201] - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2021-12-29 13:47:21.930 [main] INFO  o.s.b.w.e.t.TomcatWebServer [TomcatWebServer.java:108] - Tomcat initialized with port(s): 8080 (http)
2021-12-29 13:47:21.935 [main] INFO  o.a.c.h.Http11NioProtocol [DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8080"]
2021-12-29 13:47:21.935 [main] INFO  o.a.c.c.StandardService [DirectJDKLog.java:173] - Starting service [Tomcat]
2021-12-29 13:47:21.935 [main] INFO  o.a.c.c.StandardEngine [DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.48]
2021-12-29 13:47:21.967 [main] INFO  o.a.c.c.C.[.[.[/api] [DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
2021-12-29 13:47:21.967 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java:290] - Root WebApplicationContext: initialization completed in 584 ms
2021-12-29 13:47:22.644 [main] INFO  o.a.c.h.Http11NioProtocol [DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8080"]
2021-12-29 13:47:22.661 [main] INFO  o.s.b.w.e.t.TomcatWebServer [TomcatWebServer.java:220] - Tomcat started on port(s): 8080 (http) with context path '/api'
2021-12-29 13:47:22.669 [main] INFO  c.m.s.EduStudentApplication [StartupInfoLogger.java:61] - Started EduStudentApplication in 1.515 seconds (JVM running for 1.78)
