2022-01-03 15:03:51.988 [main] INFO  c.m.s.EduStudentApplication [StartupInfoLogger.java:55] - Starting EduStudentApplication v0.0.1-SNAPSHOT using Java 11.0.13 on yangchengjudeMacBook-Pro.local with PID 11893 (/Users/yangchengju/Desktop/swu-edu-project/edu-student-RD/target/edu-student-0.0.1-SNAPSHOT.jar started by yangchengju in /Users/yangchengju/Desktop/swu-edu-project/edu-student-RD/target)
2022-01-03 15:03:51.991 [main] INFO  c.m.s.EduStudentApplication [SpringApplication.java:659] - No active profile set, falling back to default profiles: default
2022-01-03 15:03:52.480 [main] WARN  o.m.s.m.ClassPathMapperScanner [Logger.java:44] - No MyBatis mapper was found in '[com.ycj.student]' package. Please check your configuration.
2022-01-03 15:03:52.518 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:262] - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-01-03 15:03:52.519 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:132] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-01-03 15:03:52.540 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:201] - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2022-01-03 15:03:52.981 [main] INFO  o.s.b.w.e.t.TomcatWebServer [TomcatWebServer.java:108] - Tomcat initialized with port(s): 8080 (http)
2022-01-03 15:03:52.990 [main] INFO  o.a.c.h.Http11NioProtocol [DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8080"]
2022-01-03 15:03:52.991 [main] INFO  o.a.c.c.StandardService [DirectJDKLog.java:173] - Starting service [Tomcat]
2022-01-03 15:03:52.992 [main] INFO  o.a.c.c.StandardEngine [DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.48]
2022-01-03 15:03:53.027 [main] INFO  o.a.c.c.C.[.[.[/api] [DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
2022-01-03 15:03:53.028 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java:290] - Root WebApplicationContext: initialization completed in 1001 ms
2022-01-03 15:03:54.059 [main] INFO  o.a.c.h.Http11NioProtocol [DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8080"]
2022-01-03 15:03:54.101 [main] INFO  o.s.b.w.e.t.TomcatWebServer [TomcatWebServer.java:220] - Tomcat started on port(s): 8080 (http) with context path '/api'
2022-01-03 15:03:54.113 [main] INFO  c.m.s.EduStudentApplication [StartupInfoLogger.java:61] - Started EduStudentApplication in 2.611 seconds (JVM running for 3.036)
